pokemon,apariciones
Sneasler,11
Rillaboom,11
Salamence-Mega,8
Kingambit,8
Floette-Eternal-Mega,7
Incineroar,6
Arcanine-Hisui,6
Basculegion,6
Farigiraf,5
Gholdengo,3
Froslass-Mega,3
Sylveon,3
Charizard-Mega-Y,3
Raichu-Mega-Y,2
Indeedee,2
Toxapex,2
Golisopod-Mega,2
Torkoal,2
Archaludon,2
Pelipper,2
Metagross-Mega,1
Milotic,1
Gengar-Mega,1
Snorlax,1
Scrafty,1
Dragonite,1
Blastoise-Mega,1
Lycanroc,1
Scovillain-Mega,1
Grimmsnarl,1
Swampert-Mega,1
Volcarona,1
Delphox-Mega,1
Salamence,1
Blaziken,1
Whimsicott,1
Baxcalibur-Mega,1
Sinistcha,1
Glimmora-Mega,1
Ninetales-Alola,1
Garchomp,1
Indeedee-F,1
Gardevoir-Mega,1
Armarouge,1
Annihilape,1
Aerodactyl-Mega,1
