pokemon,usage_pct,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
Rillaboom,37.61,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Sneasler,36.64,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
Incineroar,28.45,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
Salamence,25.96,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
Kingambit,24.96,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0
Basculegion,23.78,0.0,0.5,0.5,2.0,2.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
Golisopod,21.68,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
Indeedee-F,21.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
Farigiraf,18.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
Garchomp,15.44,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
Pelipper,14.81,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
Whimsicott,11.44,1.0,2.0,0.5,0.5,0.5,2.0,0.5,4.0,0.5,2.0,1.0,1.0,1.0,1.0,0.0,0.5,2.0,1.0
Sinistcha,11.04,0.0,2.0,0.5,0.5,0.5,2.0,0.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
Gholdengo,10.38,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,0.5,0.5,0.25,0.5,2.0,0.5,2.0,0.5,0.5
Archaludon,10.12,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0
Floette-Eternal,10.04,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Tyranitar,8.91,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
Baxcalibur,8.42,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
Lucario,8.34,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
Milotic,8.31,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
